date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:42:58	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2021%20Feb%202021%2010:12:55%20GMT	http://www.m3mgurgaon.co.in/robots.txt		(from )
15:43:00	131278/131278	---M-Z	200	added ('OK')	text/html	etag:%22e9e0e88a817d71:0%22	http://www.m3mgurgaon.co.in/m3m-commercial//?gclid\=Cj0KCQiAvbiBBhD-ARIsAGM48bzF_X9qORCFJfLoNLvkLx3Sj_m0Mr6knAOBtFr-dTXqvRey_Mq0qycaAum6EALw_wcB	~/Desktop/desktop/adityas_project/www.m3mgurgaon.co.in/m3m-commercial/indexb391.html	(from )
15:43:01	140930/140930	---M-Z	200	added ('OK')	text/css	etag:%22b19b21212e5cd61:0%22	http://www.m3mgurgaon.co.in/m3m-commercial//css/bootstrap.min.css	~/Desktop/desktop/adityas_project/www.m3mgurgaon.co.in/m3m-commercial/css/bootstrap.min.css	(from http://www.m3mgurgaon.co.in/m3m-commercial//?gclid\=Cj0KCQiAvbiBBhD-ARIsAGM48bzF_X9qORCFJfLoNLvkLx3Sj_m0Mr6knAOBtFr-dTXqvRey_Mq0qycaAum6EALw_wcB)
15:43:03	73519/73519	---M-Z	200	added ('OK')	text/css	etag:%22edf495131ebd61:0%22	http://www.m3mgurgaon.co.in/m3m-commercial//css/main.css	~/Desktop/desktop/adityas_project/www.m3mgurgaon.co.in/m3m-commercial/css/main.css	(from http://www.m3mgurgaon.co.in/m3m-commercial//?gclid\=Cj0KCQiAvbiBBhD-ARIsAGM48bzF_X9qORCFJfLoNLvkLx3Sj_m0Mr6knAOBtFr-dTXqvRey_Mq0qycaAum6EALw_wcB)
15:43:03	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%227b74df222e5cd61:0%22	http://www.m3mgurgaon.co.in/m3m-commercial//css/font-awesome.min.css	~/Desktop/desktop/adityas_project/www.m3mgurgaon.co.in/m3m-commercial/css/font-awesome.min.css	(from http://www.m3mgurgaon.co.in/m3m-commercial//?gclid\=Cj0KCQiAvbiBBhD-ARIsAGM48bzF_X9qORCFJfLoNLvkLx3Sj_m0Mr6knAOBtFr-dTXqvRey_Mq0qycaAum6EALw_wcB)
15:43:04	9172/9172	---M-Z	200	added ('OK')	text/css	etag:%225f3c9f272e5cd61:0%22	http://www.m3mgurgaon.co.in/m3m-commercial//css/viewer.css	~/Desktop/desktop/adityas_project/www.m3mgurgaon.co.in/m3m-commercial/css/viewer.css	(from http://www.m3mgurgaon.co.in/m3m-commercial//?gclid\=Cj0KCQiAvbiBBhD-ARIsAGM48bzF_X9qORCFJfLoNLvkLx3Sj_m0Mr6knAOBtFr-dTXqvRey_Mq0qycaAum6EALw_wcB)
15:43:07	86927/86927	---M-Z	200	added ('OK')	application/javascript	etag:%2253a091a92e5cd61:0%22	http://www.m3mgurgaon.co.in/m3m-commercial//js/jquery.min.js	~/Desktop/desktop/adityas_project/www.m3mgurgaon.co.in/m3m-commercial/js/jquery.min.js	(from http://www.m3mgurgaon.co.in/m3m-commercial//?gclid\=Cj0KCQiAvbiBBhD-ARIsAGM48bzF_X9qORCFJfLoNLvkLx3Sj_m0Mr6knAOBtFr-dTXqvRey_Mq0qycaAum6EALw_wcB)
15:43:09	7143/7143	---M--	200	added ('OK')	image/png	etag:%225082138a2e5cd61:0%22	http://www.m3mgurgaon.co.in/m3m-commercial//images/project-logo.png	~/Desktop/desktop/adityas_project/www.m3mgurgaon.co.in/m3m-commercial/images/project-logo.png	(from http://www.m3mgurgaon.co.in/m3m-commercial//?gclid\=Cj0KCQiAvbiBBhD-ARIsAGM48bzF_X9qORCFJfLoNLvkLx3Sj_m0Mr6knAOBtFr-dTXqvRey_Mq0qycaAum6EALw_wcB)
15:43:12	20069/20069	---M--	200	added ('OK')	image/png	etag:%2260c7662047a8d61:0%22	http://www.m3mgurgaon.co.in/m3m-commercial//images/50-50-Payment-Plan.png	~/Desktop/desktop/adityas_project/www.m3mgurgaon.co.in/m3m-commercial/images/50-50-Payment-Plan.png	(from http://www.m3mgurgaon.co.in/m3m-commercial//?gclid\=Cj0KCQiAvbiBBhD-ARIsAGM48bzF_X9qORCFJfLoNLvkLx3Sj_m0Mr6knAOBtFr-dTXqvRey_Mq0qycaAum6EALw_wcB)
15:43:13	14395/14395	---M--	200	added ('OK')	image/jpeg	etag:%22846f35712e5cd61:0%22	http://www.m3mgurgaon.co.in/m3m-commercial//images/logo1.jpg	~/Desktop/desktop/adityas_project/www.m3mgurgaon.co.in/m3m-commercial/images/logo1.jpg	(from http://www.m3mgurgaon.co.in/m3m-commercial//?gclid\=Cj0KCQiAvbiBBhD-ARIsAGM48bzF_X9qORCFJfLoNLvkLx3Sj_m0Mr6knAOBtFr-dTXqvRey_Mq0qycaAum6EALw_wcB)
